Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,
Aruba,ABW,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,16150.6510725001,18992.0683778812,22468.5071202357,24730.3964479092,24763.6538099384,25460.3630272927,25743.4455010025,25870.1533960504,26581.9767488997,26504.1864180809,25779.5979282247,26547.4166076696,26418.0883302727,26384.8105935137,28104.8954362859,29007.7386958774,28535.4639480222,28525.8077063839,29959.7748189582,29081.7066997897,28885.9118700469,29556.8384686554,29870.6648077005,26204.0597361984,25429.2180974853,26093.0542083227,25444.7336646687,26680.1411206342,26773.8226808518,27458.2201537506,27587.2498040483,28548.8904317739,29419.208623316,29699.1805366222,22729.8897593533,26292.9179363154,29195.2670227422,31430.9353682253,33373.9174591266,
Africa Eastern and Southern,AFE,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1186.34962013724,1160.4587892103,1219.35647267162,1253.44531666613,1275.88680050332,1304.27565068941,1329.34959217147,1361.04623394821,1377.22580156668,1406.52784752005,1381.68360137419,1415.95863100733,1414.3122617723,1437.08015510413,1471.29527680693,1448.56924750889,1439.98124585974,1415.34840678402,1394.00452517871,1390.61879610611,1423.11303808164,1433.9740893773,1392.88662033812,1350.78735716463,1355.04785614544,1313.72659606602,1304.01890447155,1315.3635170405,1332.47318051448,1329.8823454066,1293.87019984421,1257.43010635358,1195.08923269785,1152.69117278499,1143.98845464791,1163.20953377772,1195.1399532582,1209.81741858685,1199.80274381732,1199.52915014927,1205.98105360593,1216.33535706379,1231.4445675519,1235.71164842373,1271.31275711155,1314.3879382145,1364.70525366925,1417.47243247841,1440.59728407645,1414.58775130051,1449.48915951845,1468.63057193646,1456.72281306529,1478.97797685759,1495.95557383523,1498.8752400759,1490.9075460241,1490.91109750422,1489.94213724372,1479.37238691603,1399.39849841898,1425.2090572764,1440.43036630175,1431.72178996886,1435.35627774336,
Afghanistan,AFG,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308.318269746638,277.118051443941,338.139973643387,346.071627096223,338.637273888197,363.640141436773,367.75831169358,410.757728879097,417.647282647498,488.830652491949,542.871030476037,525.42698276582,568.929021458341,580.603833333096,575.146245808546,565.569730408751,563.872336723147,562.769574140988,553.125151688293,557.861533207459,527.834554499306,408.625855217403,377.665627080705,378.06630312259,,
Africa Western and Central,AFW,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1130.41197333766,1127.57255148148,1144.92073165406,1199.19753424103,1236.21630762041,1258.75809078585,1212.13962269012,1078.74250632773,1070.79271815286,1203.0895092651,1378.00823208113,1485.09515419569,1495.03594563311,1514.98235077827,1622.4797325273,1547.83380090616,1633.7761482914,1662.4962826255,1585.72500740071,1619.00742894776,1603.20227771301,1454.73136493219,1366.89855912606,1246.39927531451,1219.86148990566,1250.10861230863,1231.72334792428,1215.3635405529,1238.71591768679,1225.6253155422,1260.2797881965,1241.13077395916,1235.03226371661,1186.18779815126,1152.47046558691,1142.27810598906,1162.99749529556,1181.46219464652,1190.83371158229,1176.33411969087,1188.0373057001,1215.84949075792,1299.69542056655,1334.72594265973,1402.22876764658,1441.98859440003,1475.92318265943,1513.01942969263,1562.21124621273,1612.48837316067,1677.95238312056,1711.53923110365,1749.98138710355,1805.79842409374,1857.17116320705,1860.72768628324,1815.17120349953,1808.72220111739,1814.69463581898,1829.06806387649,1719.26150438049,1721.90947456022,1757.45658962159,1778.86434703356,1816.34604380299,
Angola,AGO,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,3186.7395967321,2937.55129349615,2831.46994192125,2842.76539931284,2903.70027040203,2896.78303600758,2874.86018427609,2890.07547573739,2964.572344914,2866.24611384236,2675.05239370666,2612.33170523819,2380.58274213388,1752.72318662558,1719.54294465223,1912.51777523397,2099.35045384819,2176.87757986492,2203.98692701325,2179.06426975438,2172.46326720494,2189.17352158246,2404.97792071531,2403.40415157038,2583.32411461288,2843.3966357968,3065.05576243895,3336.36332465208,3559.19522512236,3494.80724466172,3540.79159568381,3528.16824373399,3682.35229322763,3716.29718727282,3746.81619978613,3641.72893919944,3454.03317187119,3328.8982124109,3196.79006983557,3083.97534427357,2864.16146036893,2832.81777132286,2860.90251922246,2809.15727975557,2845.47779302975,
Albania,ALB,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,1823.48926046182,1890.02197487257,1905.06352710108,1885.6927997741,1823.32356317723,1818.02506971777,1883.74041369284,1831.94703921937,1772.17935790921,1894.87827425617,1682.8810874018,1218.96427317362,1138.23773998809,1254.67888414888,1367.22058963712,1558.96638565461,1683.76965547424,1495.90035328523,1630.43874131845,1841.80762760566,1991.91435867116,2188.91854451375,2297.10853513924,2428.68934653563,2567.29763687121,2712.86983830331,2894.36032580174,3105.8796756386,3345.98161761476,3459.24695646692,3579.82413181046,3677.89457937717,3771.84781862015,3895.89975621942,4045.11934884933,4199.53912925398,4431.55635814168,4648.23078660658,4893.82375538717,5072.43648354739,4980.61699524696,5511.75743402862,5867.65096230557,6198.17195301204,6549.23387415397,
Andorra,AND,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,,,,,,,,,,,43005.5626086766,41930.1702155472,42354.7650280269,42738.1883917679,42363.4658773479,40073.4291924102,39058.60700639,38021.8376939328,36647.7192605923,34984.0155268862,34281.7600502152,32958.7805252061,31996.5592330857,31117.2108431692,30392.8563434166,29997.1003583755,29680.1468869682,30065.0120910051,30469.3585543245,31180.4269805435,31143.1615046334,29642.3199056721,28161.9557223134,26518.2460901533,26587.1507935057,27619.5190355779,28871.2296369485,31140.7043097433,31800.3790054979,32938.6592135008,34113.8334027285,36790.1209900717,38084.5022003398,39620.3387714274,40054.3399679173,40528.1938997392,41322.0723316534,40789.1781297264,37775.1438845998,35604.4007343193,36277.2814831059,37637.5045137987,36206.9954432018,35684.1861967511,37300.6419409868,38654.95287916,40085.0394278177,39361.0807539996,39242.1633307803,39346.2935180487,34536.666145207,36929.0364995869,39780.4152991834,40227.2524257376,41034.5266723078,
Arab World,ARB,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,,,,,,,2395.35665716685,2486.41186163399,2676.45367925194,2793.88845332267,3337.44690156995,3486.38531475814,3860.83066789558,4247.55525158534,4557.37705680848,4417.72164054766,4891.8003036982,5053.9192545837,5034.11680286352,5377.87003423425,5521.18340543674,5392.58774142419,4914.86924208862,4583.43602403542,4497.03360391008,4324.14751771746,4161.66728600258,4049.42926506575,4067.95408877729,4111.56985177814,4290.84865100714,4163.65955811749,4324.83264678975,4343.3444722659,4367.61318416936,4377.94126760788,4478.2285300772,4609.89246985117,4714.10426634793,4730.37533617215,4910.08259157072,4892.98855329169,4835.589416667,4926.58928334869,5250.08375247516,5412.64941314351,5614.91183040313,5727.33322290223,5894.47746607478,5787.82712590845,5948.12916468842,6036.42083357432,6218.04632240872,6220.63858713989,6238.07256611906,6290.55879501691,6366.04865571626,6322.52614443499,6377.12047410411,6367.60443969474,5904.57124162288,6073.56224152636,6351.57184174657,6311.42160022415,6282.0327428409,
United Arab Emirates,ARE,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,,,,,,,,,,,48741.0732077195,56948.7929642687,68920.9667512683,107395.082832666,109718.555658121,105006.967473011,107855.565677898,113580.030574524,98091.9904946946,105254.459690237,117073.211637079,113152.685397455,99530.3839009081,89516.2458097483,88072.0962188144,80474.9897412582,64264.5368080093,61928.0879344204,56449.8913146917,59585.933573928,66481.6137644725,63430.9154589366,62201.6243358255,59942.8588607022,61156.65096174,62393.331494803,61871.367160368,61715.554967354,57355.7858290488,54943.7500978656,56939.2701807931,54169.4153530236,52216.8753217152,53619.1925678774,55611.419401142,55363.5661047143,56629.9761392644,52038.6159567932,47922.6988207823,42672.1987890808,42328.8508165469,43687.7782783233,43958.5681120856,44312.6337162614,44257.6514761082,44910.334995523,45168.4982473243,43293.0203824801,43377.7858697225,43468.4586811918,39878.474427695,40935.8936567784,41828.5553298104,41926.5823645673,41605.4168670844,
Argentina,ARG,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,7397.10965495682,7670.59545571641,7480.27172420174,6967.75019555221,7551.02490778789,8219.55155637229,8041.22487411475,8172.27456469042,8436.30856351031,9111.9459748551,9244.12251785153,9614.61061692134,9617.68814943737,9729.53258885903,10100.4469136163,9936.49583447894,9584.74851751038,10088.3374871635,9480.94009490414,10284.6064087552,10275.7987023886,9587.67379423426,9365.68465387847,9617.7000569575,9614.44726215357,8973.31874865813,9378.46866394349,9484.45876638052,9236.80771302535,8445.4100923428,8115.09386370753,8729.82318518892,9293.18692251748,9920.67358582437,10359.8927204871,9934.10776139515,10352.1400002191,11056.6881331002,11348.2022124673,10838.3199346387,10631.6503639029,10051.9448463043,8861.56199282278,9545.53194119994,10302.4465316428,11099.7509190602,11870.2791559298,12811.9021206578,13197.3570267029,12285.3784651865,13387.1553748458,14040.6189124444,13754.4254235596,13946.0950832252,13456.1319159151,13679.6264980954,13265.8860639123,13520.1129846159,13058.3285449954,12706.3978108968,11393.0505957877,12549.2811699342,13276.8232110189,12993.0928872416,12774.3506596628,
Armenia,ARM,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1644.02214502158,1426.82791357144,840.205259177402,792.567859246381,857.394474812969,932.357829471807,995.728275319872,1039.0798243009,1128.09888845227,1180.45341995952,1229.21510436102,1351.12072694555,1535.20452885187,1759.64684829386,1955.22262459229,2240.09273209788,2551.43546358452,2919.3734936373,3141.33193500774,2716.97436280471,2796.08143428043,2943.83687119315,3159.75860786889,3266.29882999873,3393.09252326884,3512.39350276709,3533.88503607007,3815.3747426037,4027.83393010979,4343.45839583019,4032.09043454955,4264.79961505187,4791.00481712183,5197.23509013575,5378.31799981682,
American Samoa,ASM,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13054.6364326897,13201.7347516166,13291.5356626851,13284.2791128875,12794.7565021718,13092.3111393408,12809.4633079683,12342.0575384016,12446.3086265015,12521.8095058644,12068.2667374983,11871.7937192729,12203.0894714284,12727.4102651386,12665.2829921268,11930.7771236826,12412.6024074562,12524.0160252283,13194.274740128,13233.5784817341,13709.0974895473,,,
Antigua and Barbuda,ATG,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,6062.49730867664,6310.85528034119,6795.69319068949,7323.12585537909,7584.59252748296,7564.22182367711,7951.66482552649,8766.9905761522,9479.64251106372,10620.9981924893,11383.2024679696,12037.4265333265,12729.2904324833,13166.5241173582,13385.0114363295,13326.2728796496,13776.8264136781,14420.4693979194,13519.5287711166,14117.8679127333,14588.3079841576,14991.7802610684,15282.9733985907,15961.0918359058,15003.4389169034,14968.0703013883,15703.9347145491,16433.4130541483,17301.2134317518,19259.6486517907,20770.2689732844,20464.786306605,17746.700856041,16135.397384487,15633.9091131821,15989.3900199779,15748.1952024226,15967.284996712,16077.6340769406,16635.895232831,16992.9327495236,18042.1596435727,18525.2588907167,14950.8942397208,16084.7214406048,17456.8722243104,17789.4058123944,18350.185036972,
Australia,AUS,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,19957.0185396831,20049.2014599323,19819.5508619226,20651.3354330668,21662.9940402643,22512.3706366385,22528.1223305731,23648.5462637879,24418.8606195107,25598.378558021,26899.7541974476,27046.1431511563,27590.9777551932,27883.891225048,28303.4084700947,28331.3388137168,28774.5418932665,29474.2752072,29394.359192462,30256.548535893,30796.9990737135,31333.1633085396,31819.6532938973,30688.5439685755,31706.3733417014,32939.2895127443,33755.0847823788,34095.5190957953,35474.6950998214,36232.1764714618,36975.4199007908,36366.6962397612,36117.5446503441,37246.0044332363,38356.7691976693,39407.5647528439,40437.0941864857,41569.1653679391,43081.7201718179,44755.6599721318,45979.0765654048,46314.6235297968,47599.4079289312,48509.6632180363,50018.5904483861,50972.640519744,51682.8925230537,52671.325846724,53497.275355342,53430.5274781651,53768.349733441,54296.2321324814,55465.4462872577,55966.1509270561,56571.8062524437,56970.3613028094,57632.9995925594,57991.771347333,58772.7063152213,59181.2997904131,58377.7670517802,59465.535671364,61200.4588964781,61869.082498576,61480.670710531,
Austria,AUT,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,11894.7441321731,12484.8087482702,12737.1853700715,13179.3524498439,13893.5858435903,14283.9973821757,14984.5530346847,15320.3583304571,15922.6386654781,16863.5863487954,18001.7830752008,18838.3155993467,19891.8259854297,20749.343993787,21530.6342227432,21509.3123429813,22533.8803345008,23669.5086348985,23638.7784066043,24947.5270743961,25379.462993097,25278.295236062,25768.2192735584,26577.2454719789,26592.5469190439,27244.2148386511,27853.5049872765,28213.6633992636,29102.3222540003,30097.6512878468,31167.1857978698,31919.5573520278,32231.1216141522,32134.8299135937,32780.3419423369,33603.4278263558,34301.6562151382,34998.0321173934,36180.7490571265,37468.8698869794,38571.0858780001,38929.753800545,39313.7225107545,39569.2885567329,40333.3307183894,40989.0131778975,42120.1557002022,43568.8302243941,44063.8642019916,42372.4758254763,43035.4073531933,44146.1956805294,44221.4599530893,43851.3675497404,43838.8345892137,43915.228020857,44362.6702805116,45056.6385912412,45951.5819164034,46550.5622459492,43428.6983137234,45368.6434337368,47332.4240357971,46497.9114640341,45958.8250071261,
Azerbaijan,AZE,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2866.41060718579,2808.72744444906,2141.34003837017,1621.91809395607,1284.95555073458,1120.30867792344,1123.44793844504,1177.19685990232,1282.68413749503,1365.56585147028,1504.73106706035,1640.93664540398,1782.47319183639,1949.60608417331,2111.4533834475,2674.3688564996,3556.83212858133,4412.20326117932,4778.12452736673,5118.43395494687,5300.11048729062,5149.20665913206,5193.17501119552,5425.99559780578,5508.60265612676,5500.50364628486,5272.71817141861,5229.25259993413,5261.92938234432,5346.95318604114,5087.50022783627,5349.58226071425,5599.58524971025,5668.61021317029,5871.14373251952,
Burundi,BDI,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,252.494432263235,212.342855409314,225.788139348072,230.224869823611,237.796206552628,240.48406689455,245.589599364794,272.52744854486,265.309585922564,255.821731085115,303.709792391106,304.559299116609,285.06811637395,305.139959453115,295.43006437029,290.202986018144,306.31315911461,332.792340173242,320.275135300224,317.614267208854,307.578267460065,331.215392246246,319.648687347883,322.759132903385,315.522461859928,345.163854234518,349.756030266147,360.679923797347,370.526755664209,368.226157097932,373.245241687992,383.870358589191,377.518319697874,365.282012271705,349.016249237768,302.701844524604,278.293479866983,273.889548332896,281.470892716422,272.030864788973,264.154407180223,262.913885774384,266.968141648342,255.500823385612,258.050009115333,250.878933475935,255.105582251925,254.311725516331,256.012461554496,252.582019875886,253.308577749924,254.242110648215,256.180393931874,259.311117203355,261.296721752002,254.402585226788,258.061970808946,261.725839288764,267.508692172687,270.411005710809,263.463876356897,264.682651664249,263.587550051638,264.843307950214,268.700857391724,
